Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
1995-96,18/11/1995,Real Madrid,Ath Madrid,1,0,H,1,0,H
1995-96,18/11/1995,Zaragoza,Sevilla,0,1,A,0,0,D
1995-96,19/11/1995,Ath Bilbao,La Coruna,1,0,H,,,
1995-96,19/11/1995,Compostela,Salamanca,0,0,D,0,0,D
1995-96,19/11/1995,Merida,Espanol,0,1,A,0,0,D
1995-96,19/11/1995,Oviedo,Santander,2,1,H,0,1,A
1995-96,19/11/1995,Valencia,Tenerife,2,2,D,0,1,A
1995-96,19/11/1995,Valladolid,Celta,1,1,D,0,0,D
1995-96,19/11/1995,Vallecano,Sp Gijon,2,0,H,1,0,H
1995-96,25/11/1995,Sociedad,Barcelona,1,1,D,0,1,A
1995-96,26/11/1995,Albacete,Valencia,1,3,A,0,1,A
1995-96,26/11/1995,Ath Madrid,Oviedo,3,0,H,1,0,H
1995-96,26/11/1995,Celta,Merida,2,0,H,1,0,H
1995-96,26/11/1995,Espanol,Zaragoza,1,1,D,0,1,A
1995-96,26/11/1995,La Coruna,Valladolid,3,1,H,1,0,H
1995-96,26/11/1995,Salamanca,Ath Bilbao,2,1,H,1,0,H
1995-96,26/11/1995,Santander,Betis,0,0,D,0,0,D
1995-96,26/11/1995,Sevilla,Vallecano,1,0,H,0,0,D
1995-96,26/11/1995,Sp Gijon,Real Madrid,0,0,D,0,0,D
1995-96,26/11/1995,Tenerife,Compostela,1,1,D,0,1,A
1995-96,2/12/1995,Barcelona,Santander,1,1,D,1,1,D
1995-96,2/12/1995,Real Madrid,Sevilla,4,1,H,3,0,H
1995-96,2/12/1995,Vallecano,Espanol,1,0,H,1,0,H
1995-96,3/12/1995,Ath Bilbao,Valladolid,2,1,H,1,1,D
1995-96,3/12/1995,Betis,Ath Madrid,2,1,H,2,1,H
1995-96,3/12/1995,Compostela,Albacete,3,1,H,2,0,H
1995-96,3/12/1995,Merida,La Coruna,0,2,A,0,1,A
1995-96,3/12/1995,Oviedo,Sp Gijon,1,0,H,0,0,D
1995-96,3/12/1995,Salamanca,Tenerife,1,2,A,1,1,D
1995-96,3/12/1995,Valencia,Sociedad,0,1,A,0,0,D
1995-96,3/12/1995,Zaragoza,Celta,0,0,D,0,0,D
1995-96,9/12/1995,Ath Madrid,Barcelona,3,1,H,2,0,H
1995-96,9/12/1995,Santander,Valencia,0,3,A,0,2,A
1995-96,10/12/1995,Albacete,Salamanca,3,3,D,1,1,D
1995-96,10/12/1995,Celta,Vallecano,2,0,H,1,0,H
1995-96,10/12/1995,Espanol,Real Madrid,3,1,H,1,0,H
1995-96,10/12/1995,La Coruna,Zaragoza,2,3,A,1,2,A
1995-96,10/12/1995,Sevilla,Oviedo,1,1,D,0,1,A
1995-96,10/12/1995,Sociedad,Compostela,0,1,A,0,1,A
1995-96,10/12/1995,Sp Gijon,Betis,2,3,A,1,0,H
1995-96,10/12/1995,Tenerife,Ath Bilbao,3,2,H,2,1,H
1995-96,10/12/1995,Valladolid,Merida,1,1,D,1,1,D
1995-96,16/12/1995,Barcelona,Sp Gijon,1,0,H,1,0,H
1995-96,16/12/1995,Betis,Sevilla,1,1,D,0,0,D
1995-96,17/12/1995,Ath Bilbao,Merida,1,1,D,0,0,D
1995-96,17/12/1995,Compostela,Santander,2,0,H,0,0,D
1995-96,17/12/1995,Oviedo,Espanol,1,2,A,1,1,D
1995-96,17/12/1995,Real Madrid,Celta,1,0,H,1,0,H
1995-96,17/12/1995,Salamanca,Sociedad,3,3,D,3,1,H
1995-96,17/12/1995,Tenerife,Albacete,1,3,A,1,1,D
1995-96,17/12/1995,Valencia,Ath Madrid,0,1,A,0,0,D
1995-96,17/12/1995,Vallecano,La Coruna,0,6,A,0,3,A
1995-96,17/12/1995,Zaragoza,Valladolid,5,3,H,3,1,H
1995-96,20/12/1995,Albacete,Ath Bilbao,2,0,H,0,0,D
1995-96,20/12/1995,Ath Madrid,Compostela,3,0,H,1,0,H
1995-96,20/12/1995,Celta,Oviedo,1,0,H,0,0,D
1995-96,20/12/1995,Espanol,Betis,1,1,D,1,0,H
1995-96,20/12/1995,Merida,Zaragoza,1,1,D,1,0,H
1995-96,20/12/1995,Santander,Salamanca,2,1,H,1,1,D
1995-96,20/12/1995,Sevilla,Barcelona,1,0,H,1,0,H
1995-96,20/12/1995,Sociedad,Tenerife,0,1,A,0,0,D
1995-96,20/12/1995,Sp Gijon,Valencia,1,3,A,0,1,A
1995-96,20/12/1995,Valladolid,Vallecano,1,1,D,0,0,D
1995-96,21/12/1995,La Coruna,Real Madrid,3,0,H,3,0,H
1995-96,3/1/1996,Albacete,Sociedad,3,5,A,2,3,A
1995-96,3/1/1996,Ath Bilbao,Zaragoza,1,0,H,0,0,D
1995-96,3/1/1996,Betis,Celta,0,3,A,0,0,D
1995-96,3/1/1996,Compostela,Sp Gijon,1,0,H,1,0,H
1995-96,3/1/1996,Oviedo,La Coruna,0,2,A,0,0,D
1995-96,3/1/1996,Real Madrid,Valladolid,4,1,H,3,1,H
1995-96,3/1/1996,Salamanca,Ath Madrid,1,3,A,0,0,D
1995-96,3/1/1996,Tenerife,Santander,2,0,H,1,0,H
1995-96,3/1/1996,Valencia,Sevilla,1,0,H,0,0,D
1995-96,3/1/1996,Vallecano,Merida,4,1,H,3,0,H
1995-96,4/1/1996,Barcelona,Espanol,2,1,H,1,0,H
1995-96,6/1/1996,Ath Bilbao,Sociedad,0,0,D,0,0,D
1995-96,6/1/1996,Ath Madrid,Tenerife,3,1,H,1,0,H
1995-96,7/1/1996,Celta,Barcelona,1,0,H,0,0,D
1995-96,7/1/1996,Espanol,Valencia,2,0,H,1,0,H
1995-96,7/1/1996,La Coruna,Betis,0,0,D,0,0,D
1995-96,7/1/1996,Merida,Real Madrid,2,2,D,1,2,A
1995-96,7/1/1996,Santander,Albacete,5,5,D,2,2,D
1995-96,7/1/1996,Sevilla,Compostela,0,1,A,0,0,D
1995-96,7/1/1996,Sp Gijon,Salamanca,3,2,H,2,1,H
1995-96,7/1/1996,Valladolid,Oviedo,2,2,D,2,2,D
1995-96,7/1/1996,Zaragoza,Vallecano,1,1,D,1,0,H
1995-96,13/01/1996,Albacete,Ath Madrid,1,1,D,0,0,D
1995-96,13/01/1996,Betis,Valladolid,3,0,H,0,0,D
1995-96,14/01/1996,Barcelona,La Coruna,1,1,D,0,1,A
1995-96,14/01/1996,Compostela,Espanol,2,1,H,1,1,D
1995-96,14/01/1996,Oviedo,Merida,0,0,D,0,0,D
1995-96,14/01/1996,Real Madrid,Zaragoza,2,2,D,0,1,A
1995-96,14/01/1996,Salamanca,Sevilla,4,1,H,2,0,H
1995-96,14/01/1996,Sociedad,Santander,2,1,H,1,0,H
1995-96,14/01/1996,Tenerife,Sp Gijon,3,0,H,1,0,H
1995-96,14/01/1996,Valencia,Celta,3,0,H,1,0,H
1995-96,14/01/1996,Vallecano,Ath Bilbao,2,2,D,0,1,A
1995-96,20/01/1996,Valencia,La Coruna,2,1,H,0,1,A
1995-96,21/01/1996,Albacete,Sp Gijon,1,3,A,1,2,A
1995-96,21/01/1996,Barcelona,Valladolid,1,0,H,0,0,D
1995-96,21/01/1996,Betis,Merida,0,1,A,0,0,D
1995-96,21/01/1996,Compostela,Celta,1,1,D,1,1,D
1995-96,21/01/1996,Oviedo,Zaragoza,1,1,D,1,1,D
1995-96,21/01/1996,Real Madrid,Vallecano,1,2,A,1,1,D
1995-96,21/01/1996,Salamanca,Espanol,2,2,D,1,0,H
1995-96,21/01/1996,Santander,Ath Bilbao,1,1,D,1,0,H
1995-96,21/01/1996,Sociedad,Ath Madrid,1,0,H,1,0,H
1995-96,21/01/1996,Tenerife,Sevilla,4,2,H,2,0,H
1995-96,24/01/1996,Ath Bilbao,Real Madrid,0,5,A,0,1,A
1995-96,24/01/1996,Ath Madrid,Santander,2,0,H,1,0,H
1995-96,24/01/1996,Celta,Salamanca,2,1,H,2,1,H
1995-96,24/01/1996,Espanol,Tenerife,2,1,H,0,1,A
1995-96,24/01/1996,La Coruna,Compostela,2,0,H,1,0,H
1995-96,24/01/1996,Sevilla,Albacete,1,1,D,1,0,H
1995-96,24/01/1996,Sp Gijon,Sociedad,1,1,D,0,1,A
1995-96,24/01/1996,Valladolid,Valencia,2,5,A,0,3,A
1995-96,24/01/1996,Vallecano,Oviedo,1,2,A,0,1,A
1995-96,24/01/1996,Zaragoza,Betis,1,2,A,0,1,A
1995-96,25/01/1996,Merida,Barcelona,0,0,D,0,0,D
1995-96,27/01/1996,Salamanca,La Coruna,0,5,A,0,3,A
1995-96,28/01/1996,Albacete,Espanol,0,0,D,0,0,D
1995-96,28/01/1996,Ath Madrid,Ath Bilbao,4,1,H,2,1,H
1995-96,28/01/1996,Barcelona,Zaragoza,3,1,H,1,0,H
1995-96,28/01/1996,Betis,Vallecano,0,0,D,0,0,D
1995-96,28/01/1996,Compostela,Valladolid,1,3,A,0,2,A
1995-96,28/01/1996,Oviedo,Real Madrid,1,2,A,1,1,D
1995-96,28/01/1996,Santander,Sp Gijon,1,1,D,1,1,D
1995-96,28/01/1996,Sociedad,Sevilla,1,0,H,1,0,H
1995-96,28/01/1996,Tenerife,Celta,1,0,H,1,0,H
1995-96,28/01/1996,Valencia,Merida,4,1,H,2,0,H
1995-96,3/2/1996,Sp Gijon,Ath Madrid,1,2,A,0,1,A
1995-96,3/2/1996,Zaragoza,Valencia,4,1,H,1,0,H
1995-96,4/2/1996,Ath Bilbao,Oviedo,0,1,A,0,1,A
1995-96,4/2/1996,Celta,Albacete,2,2,D,1,0,H
1995-96,4/2/1996,Espanol,Sociedad,0,0,D,0,0,D
1995-96,4/2/1996,La Coruna,Tenerife,1,1,D,0,1,A
1995-96,4/2/1996,Merida,Compostela,0,2,A,0,0,D
1995-96,4/2/1996,Real Madrid,Betis,4,2,H,2,2,D
1995-96,4/2/1996,Sevilla,Santander,0,1,A,0,1,A
1995-96,4/2/1996,Valladolid,Salamanca,1,0,H,0,0,D
1995-96,4/2/1996,Vallecano,Barcelona,1,1,D,1,0,H
1995-96,10/2/1996,Ath Madrid,Sevilla,0,1,A,0,0,D
1995-96,10/2/1996,Barcelona,Real Madrid,3,0,H,1,0,H
1995-96,10/2/1996,Valencia,Vallecano,3,0,H,2,0,H
1995-96,11/2/1996,Albacete,La Coruna,1,0,H,1,0,H
1995-96,11/2/1996,Betis,Oviedo,2,1,H,1,0,H
1995-96,11/2/1996,Compostela,Zaragoza,3,2,H,0,2,A
1995-96,11/2/1996,Salamanca,Merida,2,2,D,1,0,H
1995-96,11/2/1996,Santander,Espanol,1,1,D,1,0,H
1995-96,11/2/1996,Sociedad,Celta,3,1,H,1,0,H
1995-96,11/2/1996,Sp Gijon,Ath Bilbao,1,2,A,0,1,A
1995-96,11/2/1996,Tenerife,Valladolid,1,0,H,1,0,H
1995-96,17/02/1996,Real Madrid,Valencia,0,0,D,0,0,D
1995-96,17/02/1996,Zaragoza,Salamanca,1,1,D,1,1,D
1995-96,18/02/1996,Ath Bilbao,Betis,0,1,A,0,0,D
1995-96,18/02/1996,Celta,Santander,0,0,D,0,0,D
1995-96,18/02/1996,Espanol,Ath Madrid,0,2,A,0,1,A
1995-96,18/02/1996,La Coruna,Sociedad,1,1,D,0,1,A
1995-96,18/02/1996,Merida,Tenerife,2,0,H,2,0,H
1995-96,18/02/1996,Oviedo,Barcelona,1,2,A,1,1,D
1995-96,18/02/1996,Sevilla,Sp Gijon,2,0,H,0,0,D
1995-96,18/02/1996,Valladolid,Albacete,3,0,H,1,0,H
1995-96,18/02/1996,Vallecano,Compostela,0,1,A,0,1,A
1995-96,24/02/1996,Santander,La Coruna,2,1,H,1,0,H
1995-96,25/02/1996,Albacete,Merida,2,0,H,1,0,H
1995-96,25/02/1996,Ath Madrid,Celta,3,2,H,2,2,D
1995-96,25/02/1996,Barcelona,Betis,1,0,H,0,0,D
1995-96,25/02/1996,Compostela,Real Madrid,3,3,D,1,1,D
1995-96,25/02/1996,Salamanca,Vallecano,1,2,A,0,1,A
1995-96,25/02/1996,Sevilla,Ath Bilbao,1,1,D,1,0,H
1995-96,25/02/1996,Sociedad,Valladolid,1,0,H,0,0,D
1995-96,25/02/1996,Sp Gijon,Espanol,2,3,A,1,1,D
1995-96,25/02/1996,Tenerife,Zaragoza,1,2,A,1,1,D
1995-96,25/02/1996,Valencia,Oviedo,3,1,H,1,1,D
1995-96,2/3/1996,Ath Bilbao,Barcelona,0,0,D,0,0,D
1995-96,2/3/1996,Espanol,Sevilla,0,1,A,0,0,D
1995-96,2/3/1996,Merida,Sociedad,1,2,A,0,1,A
1995-96,2/3/1996,Real Madrid,Salamanca,5,0,H,2,0,H
1995-96,2/3/1996,Valladolid,Santander,3,1,H,1,0,H
1995-96,3/3/1996,Betis,Valencia,3,0,H,0,0,D
1995-96,3/3/1996,Celta,Sp Gijon,0,0,D,0,0,D
1995-96,3/3/1996,La Coruna,Ath Madrid,2,2,D,0,1,A
1995-96,3/3/1996,Oviedo,Compostela,3,1,H,1,1,D
1995-96,3/3/1996,Vallecano,Tenerife,2,4,A,0,1,A
1995-96,3/3/1996,Zaragoza,Albacete,3,1,H,1,1,D
1995-96,9/3/1996,Valencia,Barcelona,4,1,H,2,0,H
1995-96,10/3/1996,Albacete,Vallecano,1,2,A,1,1,D
1995-96,10/3/1996,Ath Madrid,Valladolid,0,2,A,0,0,D
1995-96,10/3/1996,Compostela,Betis,1,2,A,0,0,D
1995-96,10/3/1996,Espanol,Ath Bilbao,3,0,H,1,0,H
1995-96,10/3/1996,Salamanca,Oviedo,0,1,A,0,0,D
1995-96,10/3/1996,Santander,Merida,2,0,H,0,0,D
1995-96,10/3/1996,Sevilla,Celta,0,0,D,0,0,D
1995-96,10/3/1996,Sociedad,Zaragoza,3,1,H,1,1,D
1995-96,10/3/1996,Sp Gijon,La Coruna,1,1,D,1,0,H
1995-96,10/3/1996,Tenerife,Real Madrid,3,0,H,1,0,H
1995-96,16/03/1996,Barcelona,Compostela,1,0,H,1,0,H
1995-96,16/03/1996,Real Madrid,Albacete,2,0,H,1,0,H
1995-96,16/03/1996,Zaragoza,Santander,1,2,A,1,2,A
1995-96,17/03/1996,Ath Bilbao,Valencia,0,1,A,0,0,D
1995-96,17/03/1996,Betis,Salamanca,4,0,H,1,0,H
1995-96,17/03/1996,Celta,Espanol,4,2,H,4,0,H
1995-96,17/03/1996,La Coruna,Sevilla,3,2,H,2,1,H
1995-96,17/03/1996,Merida,Ath Madrid,0,1,A,0,0,D
1995-96,17/03/1996,Oviedo,Tenerife,1,3,A,0,1,A
1995-96,17/03/1996,Valladolid,Sp Gijon,1,0,H,0,0,D
1995-96,17/03/1996,Vallecano,Sociedad,2,0,H,1,0,H
1995-96,23/03/1996,Sp Gijon,Merida,3,1,H,1,1,D
1995-96,23/03/1996,Tenerife,Betis,1,2,A,1,0,H
1995-96,24/03/1996,Albacete,Oviedo,0,1,A,0,0,D
1995-96,24/03/1996,Ath Madrid,Zaragoza,1,1,D,1,1,D
1995-96,24/03/1996,Celta,Ath Bilbao,3,1,H,3,1,H
1995-96,24/03/1996,Compostela,Valencia,0,4,A,0,2,A
1995-96,24/03/1996,Espanol,La Coruna,0,0,D,0,0,D
1995-96,24/03/1996,Salamanca,Barcelona,1,3,A,1,3,A
1995-96,24/03/1996,Santander,Vallecano,1,2,A,0,0,D
1995-96,24/03/1996,Sevilla,Valladolid,1,1,D,1,0,H
1995-96,24/03/1996,Sociedad,Real Madrid,1,1,D,1,1,D
1995-96,27/03/1996,Ath Bilbao,Compostela,0,0,D,0,0,D
1995-96,27/03/1996,Barcelona,Tenerife,2,2,D,2,2,D
1995-96,27/03/1996,Betis,Albacete,2,3,A,2,1,H
1995-96,27/03/1996,La Coruna,Celta,2,1,H,1,0,H
1995-96,27/03/1996,Merida,Sevilla,3,2,H,2,0,H
1995-96,27/03/1996,Real Madrid,Santander,1,2,A,0,0,D
1995-96,27/03/1996,Valencia,Salamanca,2,0,H,1,0,H
1995-96,27/03/1996,Valladolid,Espanol,0,0,D,0,0,D
1995-96,27/03/1996,Vallecano,Ath Madrid,0,3,A,0,1,A
1995-96,27/03/1996,Zaragoza,Sp Gijon,1,1,D,1,1,D
1995-96,28/03/1996,Oviedo,Sociedad,0,0,D,0,0,D
1995-96,31/03/1996,Albacete,Barcelona,0,1,A,0,0,D
1995-96,31/03/1996,Ath Madrid,Real Madrid,1,2,A,0,1,A
1995-96,31/03/1996,Celta,Valladolid,1,1,D,1,0,H
1995-96,31/03/1996,Espanol,Merida,3,0,H,0,0,D
1995-96,31/03/1996,La Coruna,Ath Bilbao,0,0,D,0,0,D
1995-96,31/03/1996,Salamanca,Compostela,1,0,H,0,0,D
1995-96,31/03/1996,Santander,Oviedo,0,0,D,0,0,D
1995-96,31/03/1996,Sevilla,Zaragoza,1,1,D,0,1,A
1995-96,31/03/1996,Sociedad,Betis,1,1,D,0,1,A
1995-96,31/03/1996,Sp Gijon,Vallecano,3,1,H,2,1,H
1995-96,31/03/1996,Tenerife,Valencia,2,1,H,0,1,A
1995-96,6/4/1996,Barcelona,Sociedad,1,0,H,1,0,H
1995-96,6/4/1996,Oviedo,Ath Madrid,1,1,D,0,1,A
1995-96,6/4/1996,Zaragoza,Espanol,1,1,D,1,1,D
1995-96,7/4/1996,Ath Bilbao,Salamanca,3,1,H,1,0,H
1995-96,7/4/1996,Betis,Santander,2,2,D,1,0,H
1995-96,7/4/1996,Compostela,Tenerife,0,2,A,0,2,A
1995-96,7/4/1996,Merida,Celta,2,0,H,1,0,H
1995-96,7/4/1996,Real Madrid,Sp Gijon,0,1,A,0,1,A
1995-96,7/4/1996,Valencia,Albacete,1,0,H,0,0,D
1995-96,7/4/1996,Valladolid,La Coruna,2,2,D,2,1,H
1995-96,7/4/1996,Vallecano,Sevilla,0,0,D,0,0,D
1995-96,13/04/1996,Santander,Barcelona,1,1,D,0,1,A
1995-96,13/04/1996,Sevilla,Real Madrid,0,1,A,0,0,D
1995-96,14/04/1996,Albacete,Compostela,2,1,H,1,0,H
1995-96,14/04/1996,Ath Madrid,Betis,1,1,D,1,1,D
